question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
The resolving power of a microscope depends upon all of the following except:,Ans: C. Thickness of the film(Ref Bancroft Theory & Practice of Histochemical Techniques/p45-47).Resolving power of microscope:Microscope specific.Inversely distance between two objects that can be resolved.Doesn't depend on specimen nature or thickness.According to Abbe's Criterion.,3,Size of the apeure,Focal length of the eyepiece,Thickness of the film,Wavelength of light source used,Pathology,,fb340ec6-b658-4105-ba2d-23e3125fc4e1,multi,Thickness of the film,Thickness of the film,Wavelength of light used
Which type of trauma is associated with destruction of protective layer?,,1,Intrusion,Extrusion,Avulsion,Lateral luxation,Dental,,a906cd05-9528-42a0-9c91-235eab046938,single,Intrusion,Nan,Radiation trauma.
"During diagnostic laparoscopy for undescended testis, there are absent testicular vessels. What should be done next?",Answer- C,3,Explore fuher,Nothing is to be done,Inguinal exploration,Scrotal examination,Surgery,,e039fc9c-d96d-44e0-9933-b4c4d87bed58,single,Inguinal exploration,Perform laparotomy,Proceed with inguinal exploration.
"Excessive occlusal forces can be superimposed in all cases, except",,4,Normal periodontium with normal height of bone,Normal periodontium with reduced height of bone,Marginal periodontitis with reduced height of bone,Marginal periodontitis with normal height of bone,Dental,,954a6f85-767c-4b3a-b422-c5986e63f77b,multi,Marginal periodontitis with normal height of bone,Nan,In cases with optimal occlusion.
The reverse bevel incision is made to,,2,Allow atraumatic reflection of the gingival margin,Remove the infected tissue in the sulcus,Provide access to the alveolar crest,All of the above,Dental,,61461258-c43a-48bf-9ecb-3c6450e12912,multi,Remove the infected tissue in the sulcus,Prevent damage to the nerve,facilitate flap retraction.
Partial veneer crown is contraindicated in,,2,Long teeth,Short teeth,Tipped teeth,Tapered teeth,Dental,,5e0d7e21-6ecc-4145-9d27-1d7792ff0b6e,single,Short teeth,Nan,Teeth with extensive damage.
Target sign is seen in?,"Leakage of CSF into the nose is called CSF rhinorrhea. It may be clear fluid or mixed with blood as in acute head injuries. TRAUMA. Most of the cases follow trauma.it can be accidental or surgical. Inflammation, mucoceles of sinuses, sinunasal polyposis, fungal infection of sinuses & osteomyelitis, can all erode the bone and dura. Neoplasms, idiopathic- where cause is unknown and patient has spontaneous leak. SITE OF Leakage- CSF from anterior cranial fossa reaches the nose (1) cribriform plate, (2) roof of ethmoid air cells or (3) frontal sinus. CSF from middle cranial fossa follows injuries to sphenoid sinus, cribriform plate. In fracture of temporal bone, CSF reaches the middle ear and then escapes through the Eustachian tube into the nose (CSF OTORHINORRHOEA) DIAGNOSIS- there is history of clear watery discharge from the nose on bending the head or straining. CSF rhinorrhea should be differentiated from nasal discharge as the former is sudden, gushes in drops when bending and cannot be sniffed back. CSF rhinorrhea after head trauma is mixed with blood and shows ""target sign"" when collected on filter paper.it shows central red spot and peripheral lighter halo sign. LAB TEST = BETA-2 transferrin is seen in CSF and not in the nasal discharge. its presence is a specific and sensitive test.",2,Spontaneous CSF Rhinorrhea,Traumatic CSF Rhinorrhea,Both,,ENT,AIIMS 2017,6b13b5d1-10ab-414c-bfd4-76b9463300f2,multi,Traumatic CSF Rhinorrhea,CSF rhinorrhea,Crohn's disease
LA deposited in Inferior alveolar nerve block at,,3,Sigmoid notch,Coronoid notch,Lingula,Groove of mandibular neck,Surgery,,aae446ea-6c3c-44e3-9fd2-bd056d6d4a1a,single,Lingula,Nan,Mandibular foramen
"In extraction, best time to administer analgesics is:",,1,Before anaesthesia wears off,Prior to extraction,When pain is moderate to severe,After anaesthesia wears off,Surgery,,fa7ee43b-5ca6-4b65-a72d-9bafd53b25df,single,Before anaesthesia wears off,Within 30 minutes,Before extraction.
Mantle dentin is a layer next to:,,1,DE],Pulp,Dentin,Enamel,Dental,,bc74b992-2aef-440e-81a2-17958caecbee,single,DE],Enamel,Enamel
The wave ' V ' in BERA represents activity in which of the following ?,"The wave 'V' in BERA represents activity in lateral lemniscus.Auditory brainstem response (ABR):Is used to elicit brainstem responses to auditory stimulation by clicks or tone bursts.It is a non-invasive technique to find the integrity of central auditory pathways through the VIIIth nerve, pons and midbrain.The first, third and fifth waves are most stable and are used in measurements.Wave V Generation of wave V reflects the activity of multiple anatomic auditory structures. The sharp positive peak of wave V arises mainly from the lateral lemniscus, following slow negative wave represents the dendritic potential in the inferior colliculus.",1,Lateral lemniscus,Superior olivary complex,Cochlear nerve,Cochlear nucleus,ENT,,8b538660-2509-4f93-a358-104099bb3cb8,single,Lateral lemniscus,Lateral lemniscus,Auditory nerve and brainstem
Preconceptional intake of which of the following results in decrease in incidence of neural tube defect:,"“Folic acid has been shown to effectively reduce the risk of neural tube defects (NTDs). A daily 4 mg dose is recommended for patients who have had a previous pregnancy affected by neural tube defects. It should be started atleast 1 month (ideally 3 months) prior to pregnancy and continued through the first 6–12 weeks of pregnancy.”
COGDT 10/e, p 197
Remember:

Therapeutic dose of folic acid (to be given in females with previous history of baby with NTD) - 4 mg.
Prophylactic dose of folic acid = 0.4 mg i.e. 400 mg
Duration: It should be started 1 month before conception and continued till 3 months of pregnancy.",2,Vitamin A,Folate,Vitamin E,Vitamin C,Gynaecology & Obstetrics,,f3f48369-3b19-470a-bdaa-a5d8fa4d8afa,single,Folate,Folic acid,Folic acid
Lower 2nd molar has,,1,‘+’ shape,Distorted ‘+’ shape,Y shaped,H shaped,Dental,,d31db168-d292-495b-a874-4ea4e0adb69d,single,‘+’ shape,2 roots and 3 canals,3 roots
Failure of partial dentures due to poor clasp design can best be avoided by:,,3,Using stress breakers,Using bar type clasps,Altering tooth contours,Clasping only those teeth with fairly long crowns and normal bone support,Dental,,d04b4139-513d-4b58-a73a-972e4f8d8031,single,Altering tooth contours,Increasing the number of clasps,Proper design and placement.
"In excitable cells, repolarization is closely associated with one of the following events:",,3,Na+ efflux,Na+ influx,K+ efflux,K+ influx,Physiology,,860d2715-9c6e-4814-894d-48362fb1235d,single,K+ efflux,Action potential,Potassium ions (K+) moving out of the cell.
Hapten is?,,1,Antigenic and proteinaceous substance,Protein and non antigenic,Nonprotein and antigenic,Nonprotein and non antigenic,Dental,,15b58a11-7341-4318-bf98-b29c4e4ba7c0,single,Antigenic and proteinaceous substance,A small molecule that can elicit an immune response only when attached to a larger carrier molecule,An incomplete antigen.
Right trochlear nerve palsy can lead to all except:,"Ans: B. Right head tilt(Ref. Yanoff and Duker 4/e p1228)Right trochlear nerve palsy:Accompanied by compensatory contralateral head tilt (left head tilt), not right head tilt.Signs:Classical sign of unilateral fouh nerve palsy is contralateral head tilt (an 'ocular' toicollis).Exhibited by most patients & usually sole presenting sign in children.Non-ophthalmological causes also considered.Presents with veical diplopia.Torsional diplopia - Due to ocular cyclotorsion accompanies veical diplopia in acquired fouh nerve palsy.",2,Diplopia on upward gaze and adduction,Right head tilt,Exotropia,Hyperopia,Ophthalmology,,a1f7c34e-e009-4447-b459-3fe798b4bbc1,multi,Right head tilt,Right head tilt,Diplopia on left gaze.
The lingual extension of a Lower denture is Limited by all of the following (except),,1,Modiolus,Mylohyoid muscle,Origin of genioglossus,Sublingual salivary glands,Dental,,6d9828ad-86fa-45fa-b669-4c22f06dd9b0,multi,Modiolus,Nan,Mylohyoid ridge
Patient with history of tachyarrhythmias is on implantable cardioveer defibrillator. He develops shock. Best method to know the position and integrity of ICD is:,Ans: A. CECT (Ref Hurst 's The Hea 13/e p1050)Plain radiograph:Best method to know ICD position & integrity.ICD Lead dislodgement:Radiographically visible.Significant increase in pacing threshold /decline in electrogram amplitude.,1,CECT,MRI,USG,Plain radiograph,Radiology,,41de4a10-ea29-4f5d-817c-570c5e537bc9,single,CECT,CECT,Chest X-ray
Morris retractor is most commonly used to retract,Answer- A. Left hypochondrium Left hypochondrium- usesUsed to retract the abdominal wall in a wide mannerInstrument of choice or retraction in left subcostal region because it avoids the risk of splenic injury.,1,Left hypochondrium,Right hypochondrium,Hernia surgery,,Surgery,,f010ab15-2d53-4002-a0d8-308dc27650c5,multi,Left hypochondrium,Left hypochondrium,abdominal wall
Which of the following is not true about H. influenza?,,2,Rarely presents as meningitis in children less than 2 months of age,Capsular polypeptide protein is responsible for virulence,Requires factor V and X for growth,Most common invasive disease of H. influenza is meningitis,Microbiology,,dbf438a0-20c0-4eb7-a94a-f337ffabf5af,multi,Capsular polypeptide protein is responsible for virulence,It is a gram negative bacillus,It is not caused by the influenza virus.
Which drug is not given in Wilson disease?,Wilson disease Trientine- copper chelator Penicillamine- also chelator but less used due to nephrotic side effect. Zinc- is competitive inhibitor of copper in absorption of gut. Zinc acetate is DOC for Wilson disease.,2,Trientine,Calcium,Penicillamine,Zinc,Medicine,AIIMS 2019,57593a1c-3f1a-46c3-91b9-cf9230080c97,single,Calcium,Pyridoxine,Penicillamine
Bullet fingerprinting is:,"Bullet fingerprinting- Primary markings- The rifled firearm leaves its signature on the caridge case and on the bullet. With all rifled firearms, the bullet is slightly larger than the barrel, and as it passes through the barrel, its sides are marked by the rifling of the barrel. Secondary markings- They are produced on the surface of the bullet by imperfection on the inner surface of the barrel. These irregularities are produced by sticking of paicles of the bullet to the bore when shots are fired and is known as metallic fouling. They also result accidentally during the manufacturing process, usually microscopic in nature and have random distribution. They are useful in identifying the specific gun which was fired.",3,Human fingerprints on bullet,Primary marking,Secondary marking,Distoed bullet,Forensic Medicine,AIIMS 2018,5051fb2c-dfee-47c4-86b2-39af036755ae,single,Secondary marking,Secondary markings,A method to match a bullet to the gun it was fired from.
"Following intracoronal bleaching immediate composite restoration required, what has to be done:",,1,Treat with catalase,Wait for 7 days is mandatory,Treat with H2O2 for 3 minutes,Not possible,Dental,,9251f6b9-8124-4f34-8936-c66761486357,single,Treat with catalase,Use of adhesive resin cement,Apply a barrier layer of glass ionomer cement before composite restoration.
Which of the following is developed from the 1st arch:,,2,Stylohyoid ligament.,Spenomandibular ligament.,Stapes.,Styloid process.,Anatomy,,620affae-3d54-4be1-b18c-5b2c89d3332d,single,Spenomandibular ligament.,Mandible,Malleus and incus.
"A 70 years old male patient presents with amblyopia, exeional chest pain, episodic tachycardia and extra systoles on FCC. What is the probable cause?","Answer- B. Chronic nicotine poisoningSymptoms of chronic nicotine poisoning are cough, wheezing, dyspnoea, anorexia, vomiting, diarrhea, anemia, faintness,tremors, impaired memory, amblyopia, blindness, irregularity of the hea with extra-systoles and occasionally attacks pain suggesting angina pectoris",2,Cocaine poisoning,Chronic nicotine poisoning,Arsenophagia,Cannabis ingestion,Forensic Medicine,,2ae293df-8147-46d5-bd46-b913a95c2593,single,Chronic nicotine poisoning,Chronic nicotine poisoning,Coronary artery disease (CAD)
All of the following reflex appear at birth except:,All the reflexes appears at birth except Landau and parachute reflex.,1,Landau reflex,Babinski reflex,Startle reflex,Moro's reflex,Dental,,458b49a6-3d4e-445c-9542-51e2c9b466bd,multi,Landau reflex,Landau and parachute reflex,Moro reflex
