question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Regarding ASO titre all are seen except –,"Evidence of antecedent group 'A' streptococcal infection 

Positive throat cultures or rapid streptococcal antigen tests for group A streptococcoci are less reliable for antecedent infection capable of producing rheumatic fever because they do not distinguish between recent infection and chronic pharyngeal carriage (as many people are carrier of this bacteria).
Antibody tests are the most reliable laboratory evidence of antecedent streptococcal infection capable of producing        g acute rheumatic fever. The onset of clinical manifestations of acute rheumatic fever coincides with the peak of the streptococcal antibody response.
The antibodies used commonly for serological tests are antistreptolysin 0 (ASO), antideoxyribonuclease (Anti-DNAse) and antihyaluronidase.
ASO titre is well standardized and therefore is most widely used test. It has following features.


Elevated in 80% of patients with acute rheumatic fever (So, 20% patients do not show elevated titre) Sensitivity is 80%.
It is elevated in 20% of normal individuals perticularly in healthy school children of elementary school age (20% false positive).
ASO titers of at least 333 Todd units in children and 250 Todd units in adults are considered elevated.
It is included in minor criteria of jones criteria (not in major criteria).


Anti DNAse B titers of 240 Todd units or greater in children and 1200 Todd units or greater in adults are considered elevated.
If three antibody tests (ASO, anti-DNAse and anti-hyaluronidase) are used simultaneously, a titer for at least one antibody test is elevated in 95% of cases —> Sensitivity of combined three antibody tests is 95%.
The streptozyme test is a simple slide agglutination test for extra-cellular streptococcal antigen absorbed to red blood cells (passive hemagglutination) test. It is almost 100% sensitive but specificity is very low and it is less standardized and less reproducible than the other antibody tests. Therefore, it should not be used as a diagnostic test for evidence of antecedent group A streptococcal infection.

About option 'b'

ASO titre may not be elevated in PSGN if PSGN develops secondary to skin infection.",3,ASO can be increased in school children,May be negative in post streptococcal glomerulonephritis,ASO titre included in major criteria in jones criteria,May not be elevated in 20% cases of carditis,Pediatrics,,d0b07125-fc73-4874-9663-29e54ed5413a,multi,ASO titre included in major criteria in jones criteria,May not be elevated in 20% cases of carditis,0.7132982015609741,0.7667102217674255,0.7617690563201904,0.7132982015609741,1.0000001192092896,4
28 yr with infeility lapro tube uterus healthy ovary diagnosis -,"Ans.D. EndometriosisIn endometriosis, cause of infeility isImmobility of tubesAnovulationTubal blockMale factor: 30%Tubal, uterine & peritoneal factor: 25%Ovarian factor: 25%Cervical factor: 10%Unexplained factor: 10%",4,PCOS,Ovarian cyst,Fibroid,Endometriosis,Gynaecology & Obstetrics,,1c25695e-3dfc-4f00-815a-7c6dfa0478fc,single,Endometriosis,Endometriosis,0.9999999403953552,0.6790657043457031,0.7172433137893677,0.7336356043815613,0.9999999403953552,4
Which of the following is not the branch of external carotid aery in Kiesselbach's plexus?,NASAL SEPTUM Internal Carotid System 1. Anterior ethmoidal aery 2. Posterior ethmoidal aery External Carotid System Branches of ophthalmic aery 1. Sphenopalatine aery (branch of maxillary aery) gives Nasopalatine and posterior medial nasal branches. 2. Septal branch of greater palatine aery (branch of maxillary aery). 3. Septal branch of superior labial aery (branch of facial aery). LATERAL WALL Internal carotid System 1. Anterior ethmoidal 2. Posterior ethmoidal External Carotid System Branches of ophthalmic aery 1. Posterior lateral nasal branches 2. Greater palatine aery 3. Nasal branch of anterior superior dental 4. Branches of facial aery To nasal vestibule From sphenopalatine aery From maxillary aery From infraorbital branch of maxillary aery,1,Anterior Ethmoidal aery,Sphenopalatine aery,Greater palatine aery,Septal branch of superior labial aery,ENT,AIIMS 2017,a43a0fc3-9d61-45a2-8ebd-f90bb31af019,single,Anterior Ethmoidal aery,Option 1: Anterior Ethmoidal aery,0.9336017370224,0.9336017370224,0.7546281814575195,0.7498230934143066,0.8171895742416382,1
Excess of plasma level of lignocaine can cause cardiovascular collapse due to:,,1,Myocardial depression,Vagal stimulation,Syncope,CN5 excitability,Surgery,,dd05805a-f289-42bd-8377-e0e8fdfcff8b,single,Myocardial depression,Myocardial depression,1.0,1.0,0.768302857875824,0.7015225887298584,0.7158838510513306,1
Best noninvasive investigation to check for bility of myocardium is:,"Ans: A. FDG-18 PET CT(Ref Harrison 19/e p270 e4, 18/e p1846).Best noninvasive investigation for myocardium bility check = FDG-18 PET CTViable myocardium:Non-contracting ischemic myocardium at rest.Has full potential to recover its function (On self or on revascularization).PET:Gold standard for assessment of myocardium bility.Identifies ischemic or hibernating myocardium in 10-20% of fibrotic or infracted regions.Uses thallium & technetium labeling.Positron-emitting tracer F-18 fluorodeoxyglucose (FDG) assesses myocardial glucose metabolism - Hence an indicator of myocardial bility.Evaluation methods of myocardial bility:Mainly in ischemic cardiomyopathy patients.Myocardial perfusion imaging (with SPECT or PET) combined with metabolic imaging (i.e., fluorodeoxyglucose I FDGJ PET).Excellent alternative:Thallium-201 SPECT imaging (hospitals lacking PET scanning).",1,FDG-18 PET CT,MIBG scintigraphy,Echocardiogram,Thallium scintigraphy,Radiology,,e750cd52-447e-4ae7-9948-156375e177bb,multi,FDG-18 PET CT,FDG-18 PET CT,1.0,1.0,0.7711690068244934,0.6736235022544861,0.68585205078125,1
"Regarding Japanese encephalitis vaccine, what is not true?","Ans: D. In endemic areas vaccination is given to cover children between one to nine years age group.(Ref Park 24/e p303, p261; Indian Journal of Pediatrics,. Vol. 51, October 15, 2015 p785).Japanese Encephalitis Vaccine:In endemic areas, vaccine is given to cover children between 1-15 years (Not 1 to 9 yrs).2 primary doses 4 weeks apa, booster after 1 year and 3 years until the age of 10-15 years.Booster after 1 year and then repeated every 3 years.Minimum age: According to US-FDA-2 months.",4,Not given for infants less than 6 months,Two primary doses given to children in the one to three year age group,Booster doses are given after I year and repeated every 3 years,In endemic areas vaccination is given to cover children between one to nine years age group.,Social & Preventive Medicine,,ebd1b3d6-5161-432c-86a2-532c2ce66765,multi,In endemic areas vaccination is given to cover children between one to nine years age group.,In endemic areas vaccination is given to cover children between one to nine years age group,0.9921021461486816,0.7711399793624878,0.837282121181488,0.7198010087013245,0.9921021461486816,4
Role of Negative reinforcement:,"Negative reinforcer is withdrawal of thing which increases the frequency of positive behavior. It makes negative to positive.
Negative reinforcement makes negative to more negative, means if the patient shows tamper tantrum, you send the patient back without treatment, this will be negative reinforcement for him to escape from situation.",3,Makes negative to positive,Makes positive to negative,Makes negative to more negative,None of the above,Dental,,08b59e2f-a96d-4e2a-b21b-b5292982e74a,multi,Makes negative to more negative,Making negative to positive,0.9139246344566344,0.9750617742538452,0.9313244223594666,0.9139246344566344,0.6625690460205078,1
All are features of reversible cell injury EXCEPT,"Answer- B. DENS DEPOSITION OF MITOCHONDRIAThe ultrastructural changes (seen on electron microscopy) are:-Plasma membrane alterations - Blebbing blunting loss of microvilli.Mitochondrial changes - Swelling, small amorphous densities.Dilatation of ER and detachment of ribosomeNuclear alterations",2,ER swelling,Dens deposition of mitochondria,Bleb,Detachment of ribosome,Pathology,,1740412a-70a5-4b66-9bc0-dc70e03c4c27,multi,Dens deposition of mitochondria,DENS DEPOSITION OF MITOCHONDRIA,1.0,0.6331615447998047,1.0,0.6623796820640564,0.8069658279418945,2
"Which	of the following is	urethane	dimethacrylate
(UDMA) resin based endosealer?",,1,Endorez,Real seal,Raeko sealer,Tubli seal,Dental,,348d0bf0-fdef-44b2-be0d-0681139cf03e,single,Endorez,Endorez,1.0000003576278689,1.000000238418579,0.7013120651245117,0.7317851185798645,0.7238980531692505,1
A patient is diagnosed of oral cancer of stage T3N2M0,,2,Surgery,Surgery + radiotherapy,Chemotherapy alone,Surgery + chemotherapy,Pathology,,8518813c-bb02-4357-94ba-ef5201c7c983,single,Surgery + radiotherapy,Surgery + chemotherapy,0.9214178919792176,0.8578850030899048,0.9214178919792176,0.8154747486114502,0.9999999403953552,4
GFR is increased by all except?,"Increased blood flow to glomerular capillaries causes increased capillary hydrostatic pressure causing increased GFR. The efferent aeriole constriction also causes increased capillary hydrostatic pressure causing increased GFR. Plasma colloid oncotic pressure is the force that opposes the filtration; when it is decreased, GFR increased. In case of nephrolithiasis or renal stone, there will be decreased flow of tubular fluid which causes fluid accumulation in Bowman's capsule leading to increased hydrostatic pressure in Bowman's capsule which opposes filtration causing decreased GFR Net filtration pressure = PG -PB - pG PG: glomerular hydrostatic pressure PB: hydrostatic pressure in Bowman's capsule PG: Colloid osmotic pressure of glomerular capillary plasma proteins GFR = KFX net filtration pressure KF = capillary filtration coefficient",3,Increased renal blood flow,Efferent aeriole constriction,Renal stone in ureter,Decreased oncotic pressure,Physiology,AIIMS 2018,64400a13-aab9-46fd-8609-ac725bb8e72e,multi,Renal stone in ureter,Renal stone in ureter,0.9999999403953552,0.757265567779541,0.7260016202926636,0.9999999403953552,0.6974486112594604,3
Muscle that attaches to zygomatic process of maxilla:,,1,Masseter,Buccinator,Middle temporal,Medial pterygoid,Anatomy,,2df7addb-dc8a-4428-8f08-09327d0a7ccc,single,Masseter,Middle temporal,0.6958050727844238,0.6958050727844238,0.6674702763557434,1.0,0.7262594103813171,3
"Patient complaint of loose immediate dentures today morning, and also told that this happened 2-3 days back also. What could be the possible reason",,2,Patient forgot how to insert the denture,Continuous healing of defect,Due to shrinkage of resin,Due to reduction of diameter of defect,Dental,,bf5ce756-8fbf-432d-aaa2-e8b26afe711b,single,Continuous healing of defect,Option 1: Patient forgot how to insert the denture,0.7381499409675598,0.945409893989563,0.7381499409675598,0.7116260528564453,0.7189887166023254,1
All of the following are true about the given instrument except,"Given instrument is Bone marrow biopsy needle Bone marrow biopsy can be done in prone or lateral position. Most common site is posterior iliac crest. In obese person, preferred site is anterior superior iliac spine In newly born, preferred site is superficial bone i.e. tibia. To find out infiltrative and granulomatous disorders. Breath holding is not necessary in bone marrow biopsy. During biopsy of other organs like liver , breath holding is necessary. During any bleeding disorder, RBC or WBC disorder or hypo activity of bone marrow, bone marrow biopsy is done . Even in severe thrombocytopenia , Bone marrow biopsy is done.",4,Can be done in prone or lateral position,To find out infiltrative and granulomatous disorders,Breath holding not necessary,Platelet count of 40000 is a contraindication,Pathology,AIIMS 2019,f90b63af-1880-4eee-9405-bb1ef156af1e,multi,Platelet count of 40000 is a contraindication,Option 4: Platelet count of 40000 is a contraindication,0.9529833197593688,0.6829668879508972,0.7236058115959167,0.6974443197250366,0.9529833197593688,4
"A 22 years old gravida 3 para 2 lady delivers a normal child followed by delivery of an intact placenta. Following delivery, the lady develops severe per vaginal bleeding after 30 minutes. On table sonogram revealed retained placental tissue. What is the suspected type of placenta?","Ans: D. Placenta succenturiataSuccenturiate lobeSmall accessory lobes develop at a small distance from the main placentadeg.These lobes have vessels that course through the membranesdeg.If these vessels overlie the cervix to create a vasa pre, they can cause dangerous fetal hemorrhage if torndeg.An accessory lobe may be retained in uterus after delivery & cause postpaum uterine",4,Membranous placenta,Placenta fenestrae,Placenta accreta,Placenta succenturiata,Gynaecology & Obstetrics,,841fa263-7535-4d40-ae25-cddb831b5254,single,Placenta succenturiata,Placenta succenturiata,1.0000001192092896,0.7713192701339722,0.8148064613342285,0.8397765159606934,1.0000001192092896,4
In ALL patient; at which stage can the orthodontic treatment be done:,,1,During chemotherapy,Before chemotherapy,2 years after remission,Any time as not affected by ALL,Dental,,f2c94aa9-36ec-4b01-9a6c-11624e14ffed,multi,During chemotherapy,Any time as not affected by ALL,0.7038280367851257,0.7038280367851257,0.7031010985374451,0.6739282011985779,1.0000001192092896,4
Which diseases are infectious but not communicable?,,4,Measles,Mumps,Scarlet fever,Tetanus,Pathology,,e4281c68-9e8b-4802-9c1d-edf0de6c7195,single,Tetanus,Scarlet fever,0.6922659277915955,0.6930029988288879,0.6979020833969116,1.0000003576278689,0.6922659277915955,3
"Deepening the pulpal floor during cavity preparation
provides for",,4,Outline form,Retention form,convenience form,Resistance form,Dental,,70c81c38-0fc8-44d3-9677-4b9845e39a50,single,Resistance form,Retention form,0.910941481590271,0.8995926380157471,1.0,0.9311153888702391,0.910941481590271,2
Clinically acceptable limit of run out:,,2,0.012,0.023,0.15,0.032.,Dental,,65d2a97a-75ed-4658-860f-9acab69d88d1,multi,0.023,0.032,0.9732298851013184,0.9804345369338988,0.9732299447059632,0.876634418964386,0.96110999584198,1
A 30-year-old gentleman has exce' cep at work attributed to sleep discomfo at night. He also has recent history of falling while paying with friends. What are the other features that can be seenassociated with his condition?,"Answer: a. Paralysis during sleep-wake transition with hallucinations (Ref. Harrivon 19/c p189, 18/e p265History of fall is highly suggestive of atonia/paralysis and may be due to Narcolepsy.",1,Paralysis during sleep-wake transition with hallucinations,Snoring with witnessed sleep apnea,Pain in the legs before going to sleep,Generalized seizures in the wake state,Medicine,,b3f181b1-dcd4-44d6-a008-628ed7b39cdc,multi,Paralysis during sleep-wake transition with hallucinations,Paralysis during sleep-wake transition with hallucinations,1.0,1.0,0.811877965927124,0.7487801909446716,0.8036820292472839,1
Improved Drinking water source protect from,,1,Fecal matter,Teratogenic,Inorganic,Not Recalled,Dental,,15d397c9-5a33-4c5e-b48e-a1625e079630,multi,Fecal matter,Improved Drinking water source protect from nan,0.6905167698860168,0.6905167698860168,0.6274224519729614,0.695600688457489,0.6264735460281372,3
"Most constant and valuable trait to differentiate among maxillary 1st , 2nd and 3rd molars is",Relative position of DL groove is most constant and valuable trait. As DL cusp becomes smaller as we move distally from 1st molar to 3rd molar.,1,Relative position of DL groove,Relative position of ML groove,ML cusp size,Oblique ridge size,Dental,,c138ad82-08de-476f-b7cc-037bb25ef376,single,Relative position of DL groove,Relative position of DL groove,1.0000001192092896,1.0000001192092896,0.9845154285430908,0.7507050633430481,0.7632851600646973,1
